event_id,ticket_id,actor_id,event_type,old_status,new_status,note,event_at
5001,1001,101,created,,open,Reported through mobile form,2026-02-01T23:10:00Z
5002,1001,201,assigned,open,open,Electrical crew notified,2026-02-02T14:05:00Z
5003,1002,102,created,,open,Pickup was scheduled for Monday,2026-02-02T15:45:00Z
5004,1002,202,status_changed,open,in_progress,Route supervisor checking vehicle log,2026-02-03T13:30:00Z
5005,1003,103,created,,open,Pressure lower on two floors,2026-02-03T12:05:00Z
5006,1003,201,status_changed,open,in_progress,Crew dispatched,2026-02-03T14:25:00Z
5007,1003,201,status_changed,in_progress,resolved,Valve adjustment restored pressure,2026-02-03T19:40:00Z
5008,1004,104,created,,new,Photo attached in original report,2026-02-04T17:20:00Z
5009,1005,101,created,,open,Bin blocks part of sidewalk,2026-02-05T14:00:00Z
5010,1005,202,status_changed,open,resolved,Extra collection completed,2026-02-05T20:15:00Z
5011,1006,102,created,,open,Flicker repeats every few seconds,2026-02-06T01:30:00Z
5012,1006,201,status_changed,open,in_progress,Ballast inspection scheduled,2026-02-06T15:10:00Z
5013,1007,103,created,,open,Gate opens toward play area,2026-02-07T16:10:00Z
5014,1008,104,created,,open,Small stream along curb,2026-02-08T10:25:00Z
5015,1008,201,status_changed,open,resolved,Gasket replaced and area checked,2026-02-09T09:05:00Z
5016,1009,101,created,,new,No sharp edge visible,2026-02-09T22:15:00Z
5017,1010,102,created,,open,Current bin lid is missing,2026-02-10T13:50:00Z
5018,1010,202,status_changed,open,closed,Replacement delivered,2026-02-12T16:30:00Z
5019,1011,103,created,,open,Wait exceeds one full light cycle,2026-02-11T08:35:00Z
5020,1012,104,created,,open,Possible photocell issue,2026-02-12T14:45:00Z
5021,1012,202,status_changed,open,resolved,Photocell cleaned and tested,2026-02-14T18:10:00Z
