event_id,item_id,event_type,quantity,occurred_at,reference_id
9001,301,received,25,2026-01-08T14:00:00Z,PO-410
9002,302,received,18,2026-01-08T14:05:00Z,PO-410
9003,303,received,12,2026-01-09T15:00:00Z,PO-411
9004,301,reserved,-3,2026-01-10T16:20:00Z,REQ-701
9005,301,sold,-3,2026-01-10T17:00:00Z,ORDER-501
9006,304,received,10,2026-01-11T13:30:00Z,PO-412
9007,305,received,14,2026-01-11T13:35:00Z,PO-412
9008,302,sold,-4,2026-01-12T18:10:00Z,ORDER-502
9009,306,received,8,2026-01-13T12:00:00Z,PO-413
9010,303,adjusted,-1,2026-01-14T09:40:00Z,AUDIT-81
9011,305,reserved,-5,2026-01-15T19:15:00Z,REQ-702
9012,305,sold,-5,2026-01-15T20:05:00Z,ORDER-503
9013,301,returned,1,2026-01-16T10:30:00Z,RETURN-91
9014,304,sold,-2,2026-01-17T17:45:00Z,ORDER-504
9015,306,sold,-3,2026-01-18T14:25:00Z,ORDER-505
