ticket_id,requester_id,assignee_id,category,priority,status,subject,opened_at,closed_at
1001,101,201,streetlight,high,open,Streetlight dark near bus stop,2026-02-01T23:10:00Z,
1002,102,202,sanitation,medium,in_progress,Missed recycling pickup,2026-02-02T15:45:00Z,
1003,103,201,water,urgent,resolved,Low water pressure,2026-02-03T12:05:00Z,2026-02-03T19:40:00Z
1004,104,,parks,low,new,Broken bench slat,2026-02-04T17:20:00Z,
1005,101,202,sanitation,high,resolved,Overflowing corner bin,2026-02-05T14:00:00Z,2026-02-05T20:15:00Z
1006,102,201,streetlight,medium,in_progress,Flickering lamp outside library,2026-02-06T01:30:00Z,
1007,103,202,parks,medium,open,Playground gate will not latch,2026-02-07T16:10:00Z,
1008,104,201,water,high,resolved,Hydrant leaking slowly,2026-02-08T10:25:00Z,2026-02-09T09:05:00Z
1009,101,,transportation,medium,new,Bus shelter panel cracked,2026-02-09T22:15:00Z,
1010,102,202,sanitation,low,closed,Replacement bin request,2026-02-10T13:50:00Z,2026-02-12T16:30:00Z
1011,103,201,transportation,high,open,Crosswalk signal delayed,2026-02-11T08:35:00Z,
1012,104,202,streetlight,low,resolved,Lamp stays on during daytime,2026-02-12T14:45:00Z,2026-02-14T18:10:00Z
